Your session has expired,A sua sessão expirou
The horizontal offset for the <a href='https://www.w3schools.com/cssref/css3_pr_box-shadow.asp' target='_blank'>box-shadow</a>,The horizontal offset for the <a href='https://www.w3schools.com/cssref/css3_pr_box-shadow.asp' target='_blank'>box-shadow</a>
The vertical offset for the <a href='https://www.w3schools.com/cssref/css3_pr_box-shadow.asp' target='_blank'>box-shadow</a>,The vertical offset for the <a href='https://www.w3schools.com/cssref/css3_pr_box-shadow.asp' target='_blank'>box-shadow</a>
Blur Radius,Blur Radius
The blur-radius value for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_box-shadow.asp' target='_blank'>box-shadow</a>,The blur-radius value for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_box-shadow.asp' target='_blank'>box-shadow</a>
Spread,Spread
The spread value for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_box-shadow.asp' target='_blank'>box-shadow</a>,The spread value for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_box-shadow.asp' target='_blank'>box-shadow</a>
Shadow Color,Shadow Color
The rgba color for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_box-shadow.asp' target='_blank'>box-shadow</a>,The rgba color for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_box-shadow.asp' target='_blank'>box-shadow</a>
Enable Text Shadow,Enable Text Shadow
Add a <a href='https://www.w3schools.com/CSSref/css3_pr_text-shadow.asp' target='_blank'>CSS text-shadow</a> to the currently selected Layer,Add a <a href='https://www.w3schools.com/CSSref/css3_pr_text-shadow.asp' target='_blank'>CSS text-shadow</a> to the currently selected Layer
The horizontal offset for the <a href='https://www.w3schools.com/CSSref/css3_pr_text-shadow.asp' target='_blank'>text-shadow</a>,The horizontal offset for the <a href='https://www.w3schools.com/CSSref/css3_pr_text-shadow.asp' target='_blank'>text-shadow</a>
The vertical offset for the <a href='https://www.w3schools.com/CSSref/css3_pr_text-shadow.asp' target='_blank'>text-shadow</a>,The vertical offset for the <a href='https://www.w3schools.com/CSSref/css3_pr_text-shadow.asp' target='_blank'>text-shadow</a>
The blur-radius value for the Layer's <a href='https://www.w3schools.com/CSSref/css3_pr_text-shadow.asp' target='_blank'>text-shadow</a>,The blur-radius value for the Layer's <a href='https://www.w3schools.com/CSSref/css3_pr_text-shadow.asp' target='_blank'>text-shadow</a>
The rgba color for the Layer's <a href='https://www.w3schools.com/CSSref/css3_pr_text-shadow.asp' target='_blank'>text-shadow</a>,The rgba color for the Layer's <a href='https://www.w3schools.com/CSSref/css3_pr_text-shadow.asp' target='_blank'>text-shadow</a>
Blend Mode Filter,Blend Mode Filter
The CSS <a href='https://www.w3schools.com/cssref/pr_background-blend-mode.asp' target='_blank'>background-blend-mode</a> filter for the currently selected Layer,The CSS <a href='https://www.w3schools.com/cssref/pr_background-blend-mode.asp' target='_blank'>background-blend-mode</a> filter for the currently selected Layer
Show in Editor Preview,Show in Editor Preview
Show the blend-mode both live in the Slider and also in the admin editing stage,Show the blend-mode both live in the Slider and also in the admin editing stage
Enable Spike Masks,Enable Spike Masks
Add creative edges and corners to your content,Add creative edges and corners to your content
Left Spike,Left Spike
Add creative edges and corners to the left side of your content,Add creative edges and corners to the left side of your content
Left Spike Width,Left Spike Width
The percentage of your content's width to use when the spike(s) are drawn on the left side,The percentage of your content's width to use when the spike(s) are drawn on the left side
Add creative edges and corners to the right side of your content,Add creative edges and corners to the right side of your content
Right Spike Width,Right Spike Width
The percentage of your content's width to use when the spike(s) are drawn on the right side,The percentage of your content's width to use when the spike(s) are drawn on the right side
Left Corner,Left Corner
Mask your content with diagonal slice from the left side,Mask your content with diagonal slice from the left side
Right Corner,Right Corner
Mask your content with diagonal slice from the right side,Mask your content with diagonal slice from the right side
Start/In Animation: From,Start/In Animation: From
The Layer animation's starting point values before it first animates into view,The Layer animation's starting point values before it first animates into view
Start/In Animation: To,Start/In Animation: To
The ending values for the Layer's very first animation,The ending values for the Layer's very first animation
Animate Again To...,Animate Again To...
An additional animation to add to the Layer after its already animated into view,An additional animation to add to the Layer after its already animated into view
End/Out Animation: To,End/Out Animation: To
The Layer's final animation when it's meant to be hidden or when the Slide changes,The Layer's final animation when it's meant to be hidden or when the Slide changes
Set as Editor View,Set as Editor View
Set the selected animation point as the default view when editing your content,Set the selected animation point as the default view when editing your content
Animation Name,Animation Name
Give the animation a name for editing purposes,Give the animation a name for editing purposes
The total duration for the selected animation,The total duration for the selected animation
The easing equation to use for the selected animation,The easing equation to use for the selected animation
Wait for Action,Wait for Action
The selected animation will only start when it's called from a <a href='http://docs.themepunch.com/slider-revolution/layer-actions/' target=_'blank'>Layer Action</a>,The selected animation will only start when it's called from a <a href='http://docs.themepunch.com/slider-revolution/layer-actions/' target=_'blank'>Layer Action</a>
The Layer's opacity to apply to the currently selected animation frame,The Layer's opacity to apply to the currently selected animation frame
TranslateX,TranslateX
The 'x' (left) position to apply to the currently selected animation frame.  Accepts positive and negative numbers.,The 'x' (left) position to apply to the currently selected animation frame.  Accepts positive and negative numbers.
TranslateY,TranslateY
The 'y' (top) position to apply to the currently selected animation frame.  Accepts positive and negative numbers.,The 'y' (top) position to apply to the currently selected animation frame.  Accepts positive and negative numbers.
TranslateZ,TranslateZ
The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/transform-function/translateZ' target=_'blank'>CSS translateZ</a> to apply to the selected animation frame.  This adds/removes 3D depth to the Layer,The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/transform-function/translateZ' target=_'blank'>CSS translateZ</a> to apply to the selected animation frame.  This adds/removes 3D depth to the Layer
Transform Perspective,Transform Perspective
The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/perspective' target=_'blank'>CSS perspective</a> to apply to the selected animation frame,The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/perspective' target=_'blank'>CSS perspective</a> to apply to the selected animation frame
scaleX,scaleX
Scale the Layer's width by this amount for the selected animation frame,Scale the Layer's width by this amount for the selected animation frame
scaleY,scaleY
Scale the Layer's height by this amount for the selected animation frame,Scale the Layer's height by this amount for the selected animation frame
skewX,skewX
Skew/distort the Layer horizontally by this amount for the selected animation frame.  Accepts positive and negative values.,Skew/distort the Layer horizontally by this amount for the selected animation frame.  Accepts positive and negative values.
skewY,skewY
Skew/distort the Layer vertically by this amount for the selected animation frame.  Accepts positive and negative values.,Skew/distort the Layer vertically by this amount for the selected animation frame.  Accepts positive and negative values.
rotateX,rotateX
Rotate the Layer on its 'x' axis by this amount for the selected animation frame.  Accepts positive and negative values.,Rotate the Layer on its 'x' axis by this amount for the selected animation frame.  Accepts positive and negative values.
rotateY,rotateY
Rotate the Layer on its 'y' axis by this amount for the selected animation frame.  Accepts positive and negative values.,Rotate the Layer on its 'y' axis by this amount for the selected animation frame.  Accepts positive and negative values.
2D Rotation,2D Rotation
The Layer's <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/transform-function/rotate' target='_blank'>2D Rotation</a> for the selected animation frame.  Accepts positive and negative values.,The Layer's <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/transform-function/rotate' target='_blank'>2D Rotation</a> for the selected animation frame.  Accepts positive and negative values.
Transform Origin X,Transform Origin X
The 'x' axis for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_transform-origin.asp' target='_blank'>transform-origin</a> applied to the selected animation frame.,The 'x' axis for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_transform-origin.asp' target='_blank'>transform-origin</a> applied to the selected animation frame.
Transform Origin Y,Transform Origin Y
The 'y' axis for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_transform-origin.asp' target='_blank'>transform-origin</a> applied to the selected animation frame.,The 'y' axis for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_transform-origin.asp' target='_blank'>transform-origin</a> applied to the selected animation frame.
Transform Origin Z,Transform Origin Z
The 'z' axis for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_transform-origin.asp' target='_blank'>transform-origin</a> applied to the selected animation frame.,The 'z' axis for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_transform-origin.asp' target='_blank'>transform-origin</a> applied to the selected animation frame.
Enable Layer Mask,Enable Layer Mask
Add a mask to the Layer which is useful for wipe/reveal type animations,Add a mask to the Layer which is useful for wipe/reveal type animations
Mask X Position,Mask X Position
Position the mask horizontally.  Accepts positive and negative values.,Position the mask horizontally.  Accepts positive and negative values.
Mask Y Position,Mask Y Position
Position the mask vertically.  Accepts positive and negative values.,Position the mask vertically.  Accepts positive and negative values.
Enable Clip Path,Enable Clip Path
Apply and animate a CSS clip-path to the Layer.  Useful for creating 'wipe' animations,Apply and animate a CSS clip-path to the Layer.  Useful for creating 'wipe' animations
Clip Path Type,Clip Path Type
"Choose 'Rectangle' or 'Circle' for traditional wipes from the sides, center or corners, and 'Inverts' for curtain-type reveals","Choose 'Rectangle' or 'Circle' for traditional wipes from the sides, center or corners, and 'Inverts' for curtain-type reveals"
Clip Path Origin,Clip Path Origin
Choose which direction the Clip Path should move to,Choose which direction the Clip Path should move to
Clip Percentage,Clip Percentage
The percentage of the Layer to apply the clip-path mask to.  The number '0' would represent completely hidden and '100' represent completely visible.,The percentage of the Layer to apply the clip-path mask to.  The number '0' would represent completely hidden and '100' represent completely visible.
Enable Filter Animation,Enable Filter Animation
"Animate the Layer's blur, grayscale or brightness filter","Animate the Layer's blur, grayscale or brightness filter"
Blur Filter,Blur Filter
The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/blur' target='_blank'>blur filter</a> value for the selected Animation frame,The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/blur' target='_blank'>blur filter</a> value for the selected Animation frame
Grayscale,Grayscale
The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/grayscale' target='_blank'>grayscale filter</a> value for the selected Animation frame,The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/grayscale' target='_blank'>grayscale filter</a> value for the selected Animation frame
Brightness,Brightness
The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/brightness' target='_blank'>brightness filter</a> value for the selected Animation frame,The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/brightness' target='_blank'>brightness filter</a> value for the selected Animation frame
Animate Text Color,Animate Text Color
Animate the Layer's text color,Animate the Layer's text color
Text Color Value,Text Color Value
The Layer's text color for the selected Animation frame,The Layer's text color for the selected Animation frame
Animate Background Color,Animate Background Color
Animate the Layer's background color,Animate the Layer's background color
Background Color Value,Background Color Value
The Layer's background color for the selected Animation frame,The Layer's background color for the selected Animation frame
Enable Text-Split Animations,Enable Text-Split Animations
"Animate characters, words or lines of text","Animate characters, words or lines of text"
Split Direction,Split Direction
Choose which direction the chars/words/lines should be animated in,Choose which direction the chars/words/lines should be animated in
Split Delay,Split Delay
The delay time between each animation for the individual characters/words/lines,The delay time between each animation for the individual characters/words/lines
The easing equation to be applied for each animation,The easing equation to be applied for each animation
The char/word/line opacity to apply to the currently selected animation frame,The char/word/line opacity to apply to the currently selected animation frame
Scale the char/word/line width by this amount for the selected animation frame,Scale the char/word/line width by this amount for the selected animation frame
Scale the char/word/line height by this amount for the selected animation frame,Scale the char/word/line height by this amount for the selected animation frame
The char/word/line <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/transform-function/rotate' target='_blank'>2D Rotation</a> for the selected animation frame.  Accepts positive and negative values.,The char/word/line <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/transform-function/rotate' target='_blank'>2D Rotation</a> for the selected animation frame.  Accepts positive and negative values.
The 'x' axis for the char/word/line <a href='https://www.w3schools.com/cssref/css3_pr_transform-origin.asp' target='_blank'>transform-origin</a> applied to the selected animation frame.,The 'x' axis for the char/word/line <a href='https://www.w3schools.com/cssref/css3_pr_transform-origin.asp' target='_blank'>transform-origin</a> applied to the selected animation frame.
The 'y' axis for the char/word/line <a href='https://www.w3schools.com/cssref/css3_pr_transform-origin.asp' target='_blank'>transform-origin</a> applied to the selected animation frame.,The 'y' axis for the char/word/line <a href='https://www.w3schools.com/cssref/css3_pr_transform-origin.asp' target='_blank'>transform-origin</a> applied to the selected animation frame.
The 'z' axis for the char/word/line <a href='https://www.w3schools.com/cssref/css3_pr_transform-origin.asp' target='_blank'>transform-origin</a> applied to the selected animation frame.,The 'z' axis for the char/word/line <a href='https://www.w3schools.com/cssref/css3_pr_transform-origin.asp' target='_blank'>transform-origin</a> applied to the selected animation frame.
"Animate the Char animation's blur, grayscale or brightness filter","Animate the Char animation's blur, grayscale or brightness filter"
The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/blur' target='_blank'>blur filter</a> value for the Chars animation,The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/blur' target='_blank'>blur filter</a> value for the Chars animation
The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/grayscale' target='_blank'>grayscale filter</a> value for the Chars animation,The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/grayscale' target='_blank'>grayscale filter</a> value for the Chars animation
The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/brightness' target='_blank'>brightness filter</a> value for the Chars animation,The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/brightness' target='_blank'>brightness filter</a> value for the Chars animation
"Animate the word animation's blur, grayscale or brightness filter","Animate the word animation's blur, grayscale or brightness filter"
The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/blur' target='_blank'>blur filter</a> value for the words animation,The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/blur' target='_blank'>blur filter</a> value for the words animation
The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/grayscale' target='_blank'>grayscale filter</a> value for the words animation,The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/grayscale' target='_blank'>grayscale filter</a> value for the words animation
The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/brightness' target='_blank'>brightness filter</a> value for the words animation,The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/brightness' target='_blank'>brightness filter</a> value for the words animation
"Animate the line animation's blur, grayscale or brightness filter","Animate the line animation's blur, grayscale or brightness filter"
The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/blur' target='_blank'>blur filter</a> value for the lines animation,The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/blur' target='_blank'>blur filter</a> value for the lines animation
The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/grayscale' target='_blank'>grayscale filter</a> value for the lines animation,The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/grayscale' target='_blank'>grayscale filter</a> value for the lines animation
The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/brightness' target='_blank'>brightness filter</a> value for the lines animation,The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/brightness' target='_blank'>brightness filter</a> value for the lines animation
Special Effects,Special Effects
Choose a predefined special effect to use as the Layer's animation,Choose a predefined special effect to use as the Layer's animation
Loop Layer's Timeline,Loop Layer's Timeline
Loop all or part of the Layer's timeline animation,Loop all or part of the Layer's timeline animation
Loop Start Frame,Loop Start Frame
Choose which point in the Layer's timeline it should begin from for the loop animation,Choose which point in the Layer's timeline it should begin from for the loop animation
Loop End Frame,Loop End Frame
Choose which point in the Layer's timeline it should play to before it animates again,Choose which point in the Layer's timeline it should play to before it animates again
Num Loops,Num Loops
The number of times the Layer's selected timeline should loop.  Enter '-1' to loop continously throughout the life-cycle of the current Slide,The number of times the Layer's selected timeline should loop.  Enter '-1' to loop continously throughout the life-cycle of the current Slide
Animate to Start,Animate to Start
Animate the Layer back to its starting values in the loop once the last frame is reached.  Useful for creating a more natural looping visual.,Animate the Layer back to its starting values in the loop once the last frame is reached.  Useful for creating a more natural looping visual.
Add Loop Animation,Add Loop Animation
Add a continuously looping animation to the Layer,Add a continuously looping animation to the Layer
Define when the loop animation should begin after the Slide is shown,Define when the loop animation should begin after the Slide is shown
Animation Duration,Animation Duration
The amount of time each loop animation should occur before it begins again,The amount of time each loop animation should occur before it begins again
The easing equation to be used for the loop animation,The easing equation to be used for the loop animation
The 'x' axis for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_transform-origin.asp' target='_blank'>transform-origin</a> applied to the loop animation.,The 'x' axis for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_transform-origin.asp' target='_blank'>transform-origin</a> applied to the loop animation.
The 'y' axis for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_transform-origin.asp' target='_blank'>transform-origin</a> applied to the loop animation.,The 'y' axis for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_transform-origin.asp' target='_blank'>transform-origin</a> applied to the loop animation.
The 'z' axis for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_transform-origin.asp' target='_blank'>transform-origin</a> applied to the loop animation.,The 'z' axis for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_transform-origin.asp' target='_blank'>transform-origin</a> applied to the loop animation.
Yoyo Movement,Yoyo Movement
Reverse the position as soon as the animation ends and vice versa,Reverse the position as soon as the animation ends and vice versa
Start X Position,Start X Position
The 'x' (left) position to apply at the start of the loop animation.  Accepts positive and negative numbers.,The 'x' (left) position to apply at the start of the loop animation.  Accepts positive and negative numbers.
End X Position,End X Position
Animate the Layer to this 'x' (left) position.  Accepts positive and negative numbers.,Animate the Layer to this 'x' (left) position.  Accepts positive and negative numbers.
Start Y Position,Start Y Position
The 'y' (top) position to apply at the start of the loop animation.  Accepts positive and negative numbers.,The 'y' (top) position to apply at the start of the loop animation.  Accepts positive and negative numbers.
End Y Position,End Y Position
Animate the Layer to this 'y' (top) position.  Accepts positive and negative numbers.,Animate the Layer to this 'y' (top) position.  Accepts positive and negative numbers.
Start Z Position,Start Z Position
The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/transform-function/translateZ' target=_'blank'>CSS translateZ</a> at the start of the loop animation.  This adds/removes 3D depth to the Layer,The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/transform-function/translateZ' target=_'blank'>CSS translateZ</a> at the start of the loop animation.  This adds/removes 3D depth to the Layer
End Z Position,End Z Position
Animate the Layer's <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/transform-function/translateZ' target=_'blank'>CSS translateZ</a> property to this value.  This adds/removes 3D depth to the Layer,Animate the Layer's <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/transform-function/translateZ' target=_'blank'>CSS translateZ</a> property to this value.  This adds/removes 3D depth to the Layer
Add a Bezier Curve,Add a Bezier Curve
Adds a middle point to the movement between the starting and ending points,Adds a middle point to the movement between the starting and ending points
Auto Rotate Bezier,Auto Rotate Bezier
Automatically rotate the Layer according to its position along the Bezier path,Automatically rotate the Layer according to its position along the Bezier path
Bezier Curve Angle,Bezier Curve Angle
"Represents the curve's placement in the animation.  Lower degrees will place the curve toward the beginning, and higher degrees toward the end.","Represents the curve's placement in the animation.  Lower degrees will place the curve toward the beginning, and higher degrees toward the end."
Bezier Curve Tension,Bezier Curve Tension
"Magnify the curve by this value.  1 = no magnification.  2 = twice the curve, etc.","Magnify the curve by this value.  1 = no magnification.  2 = twice the curve, etc."
Bezier Start Point X,Bezier Start Point X
Represents the starting 'x' (left) position for the bezier curve,Represents the starting 'x' (left) position for the bezier curve
Bezier End Point X,Bezier End Point X
Represents the ending 'x' (left) position for the bezier curve,Represents the ending 'x' (left) position for the bezier curve
Bezier Start Point Y,Bezier Start Point Y
Represents the starting 'y' (top) position for the bezier curve,Represents the starting 'y' (top) position for the bezier curve
Bezier End Point Y,Bezier End Point Y
Represents the ending 'y' (top) position for the bezier curve,Represents the ending 'y' (top) position for the bezier curve
Bezier Start Point Z,Bezier Start Point Z
Represents the starting 'z' (3D depth) position for the bezier curve,Represents the starting 'z' (3D depth) position for the bezier curve
Bezier End Point Z,Bezier End Point Z
Represents the ending 'z' (3D depth) position for the bezier curve,Represents the ending 'z' (3D depth) position for the bezier curve
Yoyo Scaling,Yoyo Scaling
Reverse the scaling as soon as the animation ends and vice versa,Reverse the scaling as soon as the animation ends and vice versa
Start scaleX,Start scaleX
The starting scaleX value (width) for the loop animation,The starting scaleX value (width) for the loop animation
End scaleX,End scaleX
The ending scaleX value (width) for the loop animation,The ending scaleX value (width) for the loop animation
Start scaleY,Start scaleY
The starting scaleY value (height) for the loop animation,The starting scaleY value (height) for the loop animation
End scaleY,End scaleY
The ending scaleY value (height) for the loop animation,The ending scaleY value (height) for the loop animation
Start skewX,Start skewX
The starting skewX value (horizontal plane) for the loop animation,The starting skewX value (horizontal plane) for the loop animation
End skewX,End skewX
The ending skewX value (horizontal plane) for the loop animation,The ending skewX value (horizontal plane) for the loop animation
Start skewY,Start skewY
The starting skewY value (vertical plane) for the loop animation,The starting skewY value (vertical plane) for the loop animation
End skewY,End skewY
The ending skewY value (vertical plane) for the loop animation,The ending skewY value (vertical plane) for the loop animation
Yoyo Rotation,Yoyo Rotation
Reverse the rotation as soon as the animation ends and vice versa,Reverse the rotation as soon as the animation ends and vice versa
Start rotateX,Start rotateX
The starting rotateX value (horizontal plane) for the loop animation.  Accepts positive and negative values.,The starting rotateX value (horizontal plane) for the loop animation.  Accepts positive and negative values.
End rotateX,End rotateX
The ending rotateX value (horizontal plane) for the loop animation.  Accepts positive and negative values.,The ending rotateX value (horizontal plane) for the loop animation.  Accepts positive and negative values.
Start rotateY,Start rotateY
The starting rotateY value (horizontal plane) for the loop animation.  Accepts positive and negative values.,The starting rotateY value (horizontal plane) for the loop animation.  Accepts positive and negative values.
End rotateY,End rotateY
The ending rotateY value (horizontal plane) for the loop animation.  Accepts positive and negative values.,The ending rotateY value (horizontal plane) for the loop animation.  Accepts positive and negative values.
Start rotate2D,Start rotate2D
The starting rotation value (2D) for the loop animation.  Accepts positive and negative values.,The starting rotation value (2D) for the loop animation.  Accepts positive and negative values.
End rotate2D,End rotate2D
The ending rotation value (2D) for the loop animation.  Accepts positive and negative values.,The ending rotation value (2D) for the loop animation.  Accepts positive and negative values.
Yoyo Filters,Yoyo Filters
Reverse the animated filters as soon as the animation ends and vice versa,Reverse the animated filters as soon as the animation ends and vice versa
Opacity Start,Opacity Start
The starting transparency for the loop animation,The starting transparency for the loop animation
Opacity End,Opacity End
The ending transparency for the loop animation,The ending transparency for the loop animation
The starting <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/blur' target='_blank'>blur filter</a> value for the loop animation,The starting <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/blur' target='_blank'>blur filter</a> value for the loop animation
The ending <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/blur' target='_blank'>blur filter</a> value for the loop animation,The ending <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/blur' target='_blank'>blur filter</a> value for the loop animation
Grayscale Start,Grayscale Start
The starting <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/grayscale' target='_blank'>grayscale filter</a> value for the loop animation,The starting <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/grayscale' target='_blank'>grayscale filter</a> value for the loop animation
Grayscale End,Grayscale End
The ending <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/grayscale' target='_blank'>grayscale filter</a> value for the loop animation,The ending <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/grayscale' target='_blank'>grayscale filter</a> value for the loop animation
Brightness Start,Brightness Start
The starting <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/grayscale' target='_blank'>brightness filter</a> value for the loop animation,The starting <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/grayscale' target='_blank'>brightness filter</a> value for the loop animation
Brightness End,Brightness End
The ending <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/grayscale' target='_blank'>brightness filter</a> value for the loop animation,The ending <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/grayscale' target='_blank'>brightness filter</a> value for the loop animation
Mouse Hover,Mouse Hover
Activate mouse hover styles/transitions,Activate mouse hover styles/transitions
Reset Styles,Reset Styles
Reset all hover styles to the Layer's default idle/static styles,Reset all hover styles to the Layer's default idle/static styles
Cursor Type,Cursor Type
The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/cursor' target='_blank'>CSS cursor</a> property for the Layer.  Choose 'pointer' for a traditional hand cursor when hovering the Layer,The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/cursor' target='_blank'>CSS cursor</a> property for the Layer.  Choose 'pointer' for a traditional hand cursor when hovering the Layer
Pointer Events,Pointer Events
Choose 'none' to disable user-interaction.  Useful for enabling clicks on content placed beneath the Layer.,Choose 'none' to disable user-interaction.  Useful for enabling clicks on content placed beneath the Layer.
Masking,Masking
Mask the current Layer before applying hover styles/effects.  Useful for movements and scale/zooms.,Mask the current Layer before applying hover styles/effects.  Useful for movements and scale/zooms.
Hover Background Color,Hover Background Color
Adjust the Layer's background color on mouse hover,Adjust the Layer's background color on mouse hover
Transition Speed,Transition Speed
The transition duration for the currently selected Layer (in milliseconds),The transition duration for the currently selected Layer (in milliseconds)
Transition Easing,Transition Easing
The easing equation to use for the hover transition,The easing equation to use for the hover transition
zIndex,zIndex
The CSS z-index to apply to the Layer on mouse hover,The CSS z-index to apply to the Layer on mouse hover
Change the Layer's transparency on mouse hover,Change the Layer's transparency on mouse hover
Scale the Layer's width by this amount on mouse hover,Scale the Layer's width by this amount on mouse hover
Scale the Layer's height by this amount on mouse hover,Scale the Layer's height by this amount on mouse hover
Skew/distort the Layer horizontally by this amount on mouse hover.  Accepts positive and negative values.,Skew/distort the Layer horizontally by this amount on mouse hover.  Accepts positive and negative values.
Skew/distort the Layer vertically by this amount on mouse hover.  Accepts positive and negative values.,Skew/distort the Layer vertically by this amount on mouse hover.  Accepts positive and negative values.
Rotate the Layer on its 'x' axis by this amount on mouse hover.  Accepts positive and negative values.,Rotate the Layer on its 'x' axis by this amount on mouse hover.  Accepts positive and negative values.
Rotate the Layer on its 'y' axis by this amount on mouse hover.  Accepts positive and negative values.,Rotate the Layer on its 'y' axis by this amount on mouse hover.  Accepts positive and negative values.
The Layer's <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/transform-function/rotate' target='_blank'>2D Rotation</a> on mouse hover.  Accepts positive and negative values.,The Layer's <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/transform-function/rotate' target='_blank'>2D Rotation</a> on mouse hover.  Accepts positive and negative values.
The 'x' axis for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_transform-origin.asp' target='_blank'>transform-origin</a> on mouse hover.,The 'x' axis for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_transform-origin.asp' target='_blank'>transform-origin</a> on mouse hover.
The 'y' axis for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_transform-origin.asp' target='_blank'>transform-origin</a> on mouse hover.,The 'y' axis for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_transform-origin.asp' target='_blank'>transform-origin</a> on mouse hover.
The 'z' axis for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_transform-origin.asp' target='_blank'>transform-origin</a> on mouse hover.,The 'z' axis for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_transform-origin.asp' target='_blank'>transform-origin</a> on mouse hover.
The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/perspective' target=_'blank'>CSS perspective</a> for the Layer on mouse hover,The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/perspective' target=_'blank'>CSS perspective</a> for the Layer on mouse hover
The border color for the Layer on mouse hover,The border color for the Layer on mouse hover
